phylum,class,order,family,genus,species,specificEpithet,body mass,body mass - units,original body mass,original body mass - units,metabolic rate,original metabolic rate,mass-specific metabolic rate,mass-specific metabolic rate - units
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,2.74e-05,kg,0.0274,g,4.16666666666667e-05,0.0075,1.520681265,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,2.8e-05,kg,0.028,g,5.16666666666667e-05,0.0093,1.845238095,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,3.01e-05,kg,0.0301,g,6.94444444444444e-05,0.0125,2.3071244,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,4.43e-05,kg,0.0443,g,9.22222222222222e-05,0.0166,2.081765739,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,2.42e-05,kg,0.0242,g,4.5e-05,0.0081,1.859504132,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,4.7e-05,kg,0.047,g,8.83333333333333e-05,0.0159,1.879432624,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,2.45e-05,kg,0.0245,g,3.72222222222222e-05,0.0067,1.519274376,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,2.87e-05,kg,0.0287,g,3.94444444444444e-05,0.0071,1.374370887,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,2.92e-05,kg,0.0292,g,4.27777777777778e-05,0.0077,1.46499239,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,6.37e-05,kg,0.0637,g,8.88888888888889e-05,0.016,1.395429967,W/kg
Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,geniculata,5.01e-05,kg,0.0501,g,6.88888888888889e-05,0.0124,1.375027722,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Mecynogea,Mecynogea lemniscata,lemniscata,4.7e-05,kg,47,mg,5.77777777777778e-05,10.4,1.229314421,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,Micrathena sagittata,sagittata,5.2e-05,kg,52,mg,5e-05,9,0.961538462,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,clavipes,0.000848,kg,848,mg,0.001233508,157,1.454609076,W/kg
Arthropoda,Arachnida,Ixodida,Ixodidae,Amblyomma,Amblyomma americanum,americanum,3.1e-06,kg,3.1,mg,1.43518518518519e-06,0.186,0.462962963,W/kg
Arthropoda,Arachnida,Ixodida,Ixodidae,Amblyomma,Amblyomma maculatum,maculatum,4.5e-06,kg,4.5,mg,1.69983416252073e-06,0.205,0.377740925,W/kg
Arthropoda,Arachnida,Ixodida,Ixodidae,Amblyomma,Amblyomma cajenense,cajenense,7.5e-06,kg,7.5,mg,1.81623931623932e-06,0.255,0.242165242,W/kg
Arthropoda,Arachnida,Ixodida,Ixodidae,Dermacentor,Dermacentor andersoni,andersoni,2.07e-05,kg,20.7,mg,3.39259259259259e-06,0.458,0.163893362,W/kg
Arthropoda,Arachnida,Ixodida,Ixodidae,Dermacentor,Dermacentor variabilis,variabilis,5.6e-06,kg,5.6,mg,1.72222222222222e-06,0.217,0.307539683,W/kg
Arthropoda,Arachnida,Ixodida,Argasidae,Ornithodoros,Ornithodoros moubata,moubata,1.32e-05,kg,13.2,mg,2.72376543209877e-06,0.353,0.206345866,W/kg
Arthropoda,Arachnida,Mesostigmata,Uropodidae,Cilliba,Cilliba cassidea,cassidea,1.025e-07,kg,102.5,ug,1.68794245411242e-07,104.8,1.646773126,W/kg
Arthropoda,Arachnida,Mesostigmata,Uropodidae,Cilliba,Cilliba cassidea,cassidea,9.71e-08,kg,97.1,ug,1.72718216642307e-07,113.2,1.778766392,W/kg
Arthropoda,Arachnida,Mesostigmata,Epicriidae,Epicrius,Epicrius mollis,mollis,3.95e-08,kg,39.5,ug,1.31274373927283e-07,211.5,3.323401872,W/kg
Arthropoda,Arachnida,Mesostigmata,Epicriidae,Epicrius,Epicrius mollis,mollis,5.73e-08,kg,57.3,ug,1.432508771825e-07,159.1,2.500015309,W/kg
Arthropoda,Arachnida,Mesostigmata,Parasitidae,Pergamasus,Pergamasus crassipes,crassipes,2.88e-07,kg,288,ug,1.14947278349685e-06,254,3.991224943,W/kg
Arthropoda,Arachnida,Mesostigmata,Parasitidae,Pergamasus,Pergamasus crassipes,crassipes,3.401e-07,kg,340.1,ug,2.08903054809902e-06,390.9,6.142400906,W/kg
Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,Aphonopelma eutylenum,eutylenum,0.01503,kg,15030,mg,0.001850136,270.5,0.123096239,W/kg
Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,Aphonopelma eutylenum,eutylenum,0.00868,kg,8680,mg,0.004394502,642.5,0.506278985,W/kg
Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles laeta,laeta,9.72e-05,kg,97.2,mg,7.25007265636451e-05,10.6,0.745892249,W/kg
Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles laeta,laeta,9.61e-05,kg,96.1,mg,0.000103963,15.2,1.081824204,W/kg
Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles laeta,laeta,0.0001112,kg,111.2,mg,0.00013953,20.4,1.254763491,W/kg
Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles laeta,laeta,7.62e-05,kg,76.2,mg,4.99297456523216e-05,7.3,0.655246006,W/kg
Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles laeta,laeta,0.0001979,kg,197.9,mg,0.000188092,27.5,0.950437128,W/kg
Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles laeta,laeta,0.0002917,kg,291.7,mg,0.000177832,26,0.609639941,W/kg
Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles laeta,laeta,0.0003279,kg,327.9,mg,0.000328989,48.1,1.00332158,W/kg
Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles laeta,laeta,0.0001655,kg,165.5,mg,0.000162101,23.7,0.979460309,W/kg
Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles laeta,laeta,0.0001839,kg,183.9,mg,0.00022913,33.5,1.245947008,W/kg
Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles deserta,deserta,7.9e-05,kg,79,mg,6.22411897857708e-05,9.1,0.787863162,W/kg
Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles deserta,deserta,6.32e-05,kg,63.2,mg,4.03541779929723e-05,5.9,0.638515475,W/kg
Arthropoda,Arachnida,Araneae,Plectreuridae,Plectreurys,Plectreurys tristis,tristis,0.0003404,kg,340.4,mg,0.00014295,20.9,0.419945787,W/kg
Arthropoda,Arachnida,Araneae,Plectreuridae,Plectreurys,Plectreurys tristis,tristis,8.1e-05,kg,81,mg,5.9505313311671e-05,8.7,0.734633498,W/kg
Arthropoda,Arachnida,Araneae,Plectreuridae,Plectreurys,Plectreurys sp.,sp.,6.47e-05,kg,64.7,mg,3.35144868077227e-05,4.9,0.517998251,W/kg
Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,Steatoda medialis,medialis,2.43e-05,kg,24.3,mg,8.48121706970943e-05,12.4,3.490212786,W/kg
Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,mactans,0.0003505,kg,350.5,mg,0.000716116,104.7,2.043126012,W/kg
Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,mactans,4.82e-05,kg,48.2,mg,0.00039465,57.7,8.187763099,W/kg
Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,Latrodectus mactans,mactans,0.000169,kg,169,mg,0.000601209,87.9,3.557448847,W/kg
Arthropoda,Arachnida,Araneae,Linyphiidae,Frontinella,Frontinella pyramitela,pyramitela,4.6e-06,kg,4.6,mg,1.23114441334492e-05,1.8,2.676400899,W/kg
Arthropoda,Arachnida,Araneae,Linyphiidae,Frontinella,Frontinella pyramitela,pyramitela,4.8e-06,kg,4.8,mg,2.25709809113235e-05,3.3,4.70228769,W/kg
Arthropoda,Arachnida,Araneae,Linyphiidae,Frontinella,Frontinella pyramitela,pyramitela,7.6e-06,kg,7.6,mg,4.3774023585597e-05,6.4,5.759739945,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Cyclosa,Cyclosa conica,conica,1.05e-05,kg,10.5,mg,3.96702088744473e-05,5.8,3.778115131,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Cyclosa,Cyclosa conica,conica,1.08e-05,kg,10.8,mg,3.76183015188724e-05,5.5,3.483176067,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona oacavensis,oacavensis,0.0001406,kg,140.6,mg,0.000160049,23.4,1.138326982,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona oacavensis,oacavensis,0.0001931,kg,193.1,mg,0.000216134,31.6,1.119286595,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope aurantia,aurantia,0.000258,kg,258,mg,0.000405594,59.3,1.572068555,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope aurantia,aurantia,0.000858,kg,858,mg,0.001047157,153.1,1.220462378,W/kg
Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope aurantia,aurantia,0.000853,kg,853,mg,0.001198314,175.2,1.404822855,W/kg
Arthropoda,Arachnida,Araneae,Agelenidae,Agelenopsis,Agelenopsis aperta,aperta,0.0006325,kg,632.5,mg,0.000981496,143.5,1.551771834,W/kg
Arthropoda,Arachnida,Araneae,Agelenidae,Agelenopsis,Agelenopsis aperta,aperta,0.000715,kg,715,mg,0.001162064,169.9,1.625263682,W/kg
Arthropoda,Arachnida,Araneae,Agelenidae,Agelenopsis,Agelenopsis aperta,aperta,0.0003208,kg,320.8,mg,0.000363872,53.2,1.134263002,W/kg
Arthropoda,Arachnida,Araneae,Lycosidae,Schizocosa,Schizocosa pacifica,pacifica,0.0005121,kg,512.1,mg,0.00057727,84.4,1.127260176,W/kg
Arthropoda,Arachnida,Araneae,Oxyopidae,Peucetia,Peucetia viridans,viridans,0.0001616,kg,161.6,mg,8.95999545267689e-05,13.1,0.554455164,W/kg
Arthropoda,Arachnida,Araneae,Oxyopidae,Peucetia,Peucetia viridans,viridans,0.0001332,kg,133.2,mg,0.00026196,38.3,1.966667961,W/kg
Arthropoda,Arachnida,Araneae,Oxyopidae,Peucetia,Peucetia longipalpis,longipalpis,0.0002574,kg,257.4,mg,0.000277691,40.6,1.078832409,W/kg
Arthropoda,Arachnida,Araneae,Gnaphosidae,Zelotes,Zelotes rusticus,rusticus,5.25e-05,kg,52.5,mg,4.30900544670721e-05,6.3,0.820762942,W/kg
Arthropoda,Arachnida,Araneae,Clubionidae,Liocranoides,Liocranoides sp.,sp.,0.0001455,kg,145.5,mg,9.98594913046432e-05,14.6,0.686319528,W/kg
Arthropoda,Arachnida,Araneae,Thomisidae,Misumenoidea,Misumenoidea formosipes,formosipes,4.87e-05,kg,48.7,mg,0.000117643,17.2,2.415660952,W/kg
Arthropoda,Arachnida,Araneae,Thomisidae,Misumenoidea,Misumenoidea sp.,sp.,2.79e-05,kg,27.9,mg,3.28305176891978e-05,4.8,1.176721064,W/kg
Arthropoda,Arachnida,Araneae,Thomisidae,Misumenoidea,Misumenoidea sp.,sp.,3.6e-05,kg,36,mg,3.62503632818225e-05,5.3,1.006954536,W/kg
Arthropoda,Arachnida,Araneae,Thomisidae,Misumenoidea,Misumenoidea sp.,sp.,3e-05,kg,30,mg,4.65099000596968e-05,6.8,1.550330002,W/kg
Arthropoda,Arachnida,Araneae,Thomisidae,Misumenoidea,Misumenoidea sp.,sp.,4.23e-05,kg,42.3,mg,4.3774023585597e-05,6.4,1.034846893,W/kg
Arthropoda,Arachnida,Araneae,Salticidae,Metaphidippus,Metaphidippus vitis,vitis,5.7e-06,kg,5.7,mg,1.77831970816488e-05,2.6,3.119859137,W/kg
Arthropoda,Arachnida,Araneae,Salticidae,Menemerus,Menemerus bivittatus,bivittatus,2.79e-05,kg,27.9,mg,6.90808809710203e-05,10.1,2.476017239,W/kg
Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,Phidippus johnsoni,johnsoni,0.000173,kg,173,mg,0.000156629,22.9,0.905369527,W/kg
Arthropoda,Arachnida,Sarcoptiformes,Ameronothridae,Alaskozeres,Alaskozeres antarcticus,antarcticus,2.2999e-07,kg,229.99,ug,8.67057490358537e-07,239.92,3.769979088,W/kg
Arthropoda,Arachnida,Araneae,Lycosidae,Lycosa,Lycosa howarthi,howarthi,0.0001844,kg,184.4,mg,0.000269747,173.72,1.4628349,W/kg
Arthropoda,Arachnida,Araneae,Lycosidae,Lycosa,Lycosa sp.,sp.,0.000123,kg,123,mg,0.000119845,115.71,0.974353133,W/kg
Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax occidentalis,occidentalis,0.01172,kg,11.72,g,0.277,0.277,23.63481229,W/kg
Chordata,Aves,Passeriformes,Paridae,Parus,Parus gambeli,gambeli,0.01165,kg,11.65,g,0.326,0.326,27.98283262,W/kg
Chordata,Aves,Passeriformes,Certhiidae,Certhia,Certhia americana,americana,0.00747,kg,7.47,g,0.227,0.227,30.38821954,W/kg
Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta canadensis,canadensis,0.01038,kg,10.38,g,0.291,0.291,28.03468208,W/kg
Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta carolinensis,carolinensis,0.01767,kg,17.67,g,0.41,0.41,23.20316921,W/kg
Chordata,Aves,Passeriformes,Turdidae,Sialia,Sialia mexicana,mexicana,0.02368,kg,23.68,g,0.44,0.44,18.58108108,W/kg
Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus guttatus,guttatus,0.02907,kg,29.07,g,0.571,0.571,19.64224286,W/kg
Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus migratorius,migratorius,0.07311,kg,73.11,g,0.944,0.944,12.91205034,W/kg
Chordata,Aves,Passeriformes,Emberizidae,Pipilo,Pipilo chlorurus,chlorurus,0.03025,kg,30.25,g,0.575,0.575,19.00826446,W/kg
Chordata,Aves,Passeriformes,Emberizidae,Junco,Junco hyemalis,hyemalis,0.02199,kg,21.99,g,0.448,0.448,20.37289677,W/kg
Chordata,Aves,Passeriformes,Parulidae,Oreothlypis,Oreothlypis celata,celata,0.00898,kg,8.98,g,0.267,0.267,29.73273942,W/kg
Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga coronata,coronata,0.01267,kg,12.67,g,0.345,0.345,27.2296764,W/kg
Chordata,Aves,Passeriformes,Parulidae,Cardellina,Cardellina rubrifrons,rubrifrons,0.00999,kg,9.99,g,0.266,0.266,26.62662663,W/kg
Chordata,Aves,Passeriformes,Cardinalidae,Piranga,Piranga ludoviciana,ludoviciana,0.0283,kg,28.3,g,0.512,0.512,18.09187279,W/kg
Chordata,Aves,Passeriformes,Pachycephalidae,Pachycephala,Pachycephala hypoxantha,hypoxantha,0.02299,kg,22.99,g,0.399,0.399,17.3553719,W/kg
Chordata,Aves,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura albicollis,albicollis,0.01218,kg,12.18,g,0.309,0.309,25.36945813,W/kg
Chordata,Aves,Passeriformes,Pycnonotidae,Alophoixus,Alophoixus ochraceus,ochraceus,0.04912,kg,49.12,g,0.76,0.76,15.4723127,W/kg
Chordata,Aves,Passeriformes,Cettiidae,Orthotomus,Orthotomus cuculatus,cuculatus,0.00713,kg,7.13,g,0.225,0.225,31.55680224,W/kg
Chordata,Aves,Passeriformes,Cettiidae,Urosphena,Urosphena whiteheadi,whiteheadi,0.0104,kg,10.4,g,0.299,0.299,28.75,W/kg
Chordata,Aves,Passeriformes,Zosteropidae,Yuhina,Yuhina everetti,everetti,0.01381,kg,13.81,g,0.365,0.365,26.4301231,W/kg
Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops atricapilla,atricapilla,0.00849,kg,8.49,g,0.235,0.235,27.67962309,W/kg
Chordata,Aves,Passeriformes,Timaliidae,Stachyris,Stachyris nigriceps,nigriceps,0.01567,kg,15.67,g,0.344,0.344,21.95277601,W/kg
Chordata,Aves,Passeriformes,Pellorneidae,Trichastoma,Trichastoma pyrrogenys,pyrrogenys,0.01897,kg,18.97,g,0.392,0.392,20.66420664,W/kg
Chordata,Aves,Passeriformes,Pellorneidae,Napothera,Napothera crassa,crassa,0.02779,kg,27.79,g,0.459,0.459,16.51673264,W/kg
Chordata,Aves,Passeriformes,Muscicapidae,Rhinomyias,Rhinomyias gularis,gularis,0.02558,kg,25.58,g,0.461,0.461,18.0218921,W/kg
Chordata,Aves,Passeriformes,Muscicapidae,Brachypteryx,Brachypteryx montana,montana,0.02027,kg,20.27,g,0.448,0.448,22.10162802,W/kg
Chordata,Aves,Passeriformes,Muscicapidae,Enicurus,Enicurus leschenaulti,leschenaulti,0.03569,kg,35.69,g,0.609,0.609,17.06360325,W/kg
Chordata,Aves,Passeriformes,Muscicapidae,Myophonus,Myophonus borneensis,borneensis,0.11625,kg,116.25,g,1.411,1.411,12.13763441,W/kg
Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula hyperythra,hyperythra,0.00844,kg,8.44,g,0.23,0.23,27.25118483,W/kg
Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga,Aethopyga siparaja,siparaja,0.00601,kg,6.01,g,0.176,0.176,29.28452579,W/kg
Chordata,Aves,Passeriformes,Muscicapidae,Cossypha,Cossypha caffra,caffra,0.02999,kg,29.99,g,0.653,0.653,21.77392464,W/kg
Chordata,Aves,Passeriformes,Muscicapidae,Erythropygia,Erythropygia coryphaeus,coryphaeus,0.021,kg,21,g,0.402,0.402,19.14285714,W/kg
Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus capensis,capensis,0.03436,kg,34.36,g,0.786,0.786,22.87543655,W/kg
Chordata,Aves,Passeriformes,Cisticolidae,Prinia,Prinia maculosa,maculosa,0.00919,kg,9.19,g,0.338,0.338,36.77910773,W/kg
Chordata,Aves,Passeriformes,Cisticolidae,Apalis,Apalis thoracica,thoracica,0.01149,kg,11.49,g,0.307,0.307,26.71888599,W/kg
Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops virens,virens,0.01087,kg,10.87,g,0.407,0.407,37.4425023,W/kg
Chordata,Aves,Passeriformes,Macrosphenidae,Sphenoeacus,Sphenoeacus afer,afer,0.02805,kg,28.05,g,0.474,0.474,16.89839572,W/kg
Chordata,Aves,Passeriformes,Macrosphenidae,Sylvietta,Sylvietta rufescens,rufescens,0.01157,kg,11.57,g,0.327,0.327,28.26274849,W/kg
Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia subcaerulea,subcaerulea,0.0132,kg,13.2,g,0.374,0.374,28.33333333,W/kg
Chordata,Aves,Passeriformes,Fringillidae,Serinus,Serinus flaviventris,flaviventris,0.01605,kg,16.05,g,0.399,0.399,24.85981308,W/kg
Chordata,Aves,Passeriformes,Fringillidae,Serinus,Serinus albogularis,albogularis,0.0305,kg,30.5,g,0.64,0.64,20.98360656,W/kg
Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza capensis,capensis,0.0199,kg,19.9,g,0.469,0.469,23.5678392,W/kg
Chordata,Aves,Passeriformes,Coliidae,Colius,Colius colius,colius,0.04521,kg,45.21,g,0.725,0.725,16.03627516,W/kg
Chordata,Aves,Passeriformes,Malaconotidae,Telophorus,Telophorus zeylonus,zeylonus,0.06765,kg,67.65,g,1.138,1.138,16.82187731,W/kg
Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,Cisticola subruficapilla,subruficapilla,0.01015,kg,10.15,g,0.298,0.298,29.35960591,W/kg
Chordata,Aves,Passeriformes,Remizidae,Anthoscopus,Anthoscopus minutus,minutus,0.0069,kg,6.9,g,0.223,0.223,32.31884058,W/kg
Chordata,Aves,Passeriformes,Nectariniidae,Nectarinia,Nectarinia chalybea,chalybea,0.00808,kg,8.08,g,0.298,0.298,36.88118812,W/kg
Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo tahitica,tahitica,0.01407,kg,14.07,g,0.233640167,59.78,16.60555556,W/kg
Chordata,Aves,Coraciiformes,Meropidae,Merops,Merops viridis,viridis,0.03381,kg,33.81,g,0.392008167,41.74,11.59444444,W/kg
Chordata,Aves,Apterygiformes,Apterygidae,Apteryx,Apteryx owenii,owenii,0.666,kg,0.666,kg,1.16,1.16,1.741741742,W/kg
Chordata,Aves,Apterygiformes,Apterygidae,Apteryx,Apteryx owenii,owenii,1.525,kg,1.525,kg,3.42,3.42,2.242622951,W/kg
Chordata,Aves,Apterygiformes,Apterygidae,Apteryx,Apteryx owenii,owenii,1.525,kg,1.525,kg,2.55,2.55,1.672131148,W/kg
Chordata,Aves,Apterygiformes,Apterygidae,Apteryx,Apteryx australis,australis,1.85,kg,1.85,kg,3.58,3.58,1.935135135,W/kg
Chordata,Aves,Apterygiformes,Apterygidae,Apteryx,Apteryx australis,australis,3.07,kg,3.07,kg,3.89,3.89,1.267100977,W/kg
